,C,penalty
3  TAIGA,0.1,l2
5  NORTHERN FORESTS,0.001,l2
6  NORTHWESTERN FORESTED MOUNTAINS,0.001,l2
7  MARINE WEST COAST FOREST,0.001,l2
8  EASTERN TEMPERATE FORESTS,0.001,l2
9  GREAT PLAINS,0.001,l2
10  NORTH AMERICAN DESERTS,0.001,l2
11  MEDITERRANEAN CALIFORNIA,0.001,l2
12  SOUTHERN SEMIARID HIGHLANDS,0.001,l2
13  TEMPERATE SIERRAS,0.001,l2
15  TROPICAL WET FORESTS,0.001,l2
